batch,Iteration,SMILES,Ered 
initial,0,CCN1CN(C)c2cc3nsnc3c(NC)c21,-2.76 
initial,1,CCCNc1c2c(cc3nsnc13)N(CCC)CN2C,-2.71 
initial,2,CCN1CN(CC)c2c1c(C)c1nsnc1c2OC(C)=O,-2.67 
initial,3,CCc1c2c(c(N(C)CC)c3nsnc13)C1CCC2CC1,-2.45 
initial,4,CCNc1c2c(cc3nsnc13)N(CC)CN2CC,-2.99 
initial,5,CCNc1cc2c(c3nsnc13)CCC2C,-2.42 
initial,6,CCc1c2c(c(OC)c3nsnc13)N(C)CN2C(C)C,-2.60 
initial,7,CCCN1CN(C)c2c1cc1nsnc1c2C(C)C,-2.70 
initial,8,CCC(C)N1CN(C(C)CC)c2c1cc1nsnc1c2C,-2.82 
initial,9,CCCOc1c2c(c(CC)c3nsnc13)N(C)CN2CC,-2.73 
sample,1,CCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.74 
sample,2,CCCN1CN(CC)c2c1cc1nsnc1c2NC,-2.69 
sample,3,CCN1CN(CC)c2c1cc1nsnc1c2NC,-2.64 
sample,4,CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63 
sample,5,CNc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.65 
sample,6,CCCN1CN(C)c2cc3nsnc3c(NCC)c21,-2.67 
sample,7,CCCN1CN(C(C)C)c2cc3nsnc3c(C(C)C)c21,-2.71 
sample,8,CCc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,-2.63 
sample,9,CCCNc1c2c(cc3nsnc13)N(CC)CN2C,-2.80 
sample,10,CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.67 
sample,11,CCCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.77 
sample,12,CCCCNc1c2c(cc3nsnc13)N(C)CN2CC,-2.74 
sample,13,CCCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.85 
sample,14,CCCCN1CN(CC)c2c1cc1nsnc1c2NC,-2.71 
sample,15,CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.73 
sample,16,CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.63 
sample,17,CNc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,-2.88 
sample,18,CCNc1c2c(c(CC)c3nsnc13)N(C)CN2C,-2.55 
sample,19,CC(C)CNc1c2c(cc3nsnc13)N(C)CN2C,-2.48 
sample,20,CCCN1CN(C(C)CC)c2c1cc1nsnc1c2CC,-2.82 
sample,21,CCCc1c2c(cc3nsnc13)N(C(C)CC)CN2CC,-2.78 
sample,22,CCCCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.78 
sample,23,CCCCc1c2c(cc3nsnc13)N(CCCC)CN2C,-2.74 
sample,24,CCCCc1c2c(c(C)c3nsnc13)N(C)CN2C(C)C,-2.78 
sample,25,CCCCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.83 
sample,26,CCc1c2c(c(C(C)CC)c3nsnc13)N(CC)CN2C,-2.72 
sample,27,CCC(C)c1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,-2.78 
sample,28,CCOC1N(CC)c2cc3nsnc3c(C)c2N1C(C)CC,-2.58 
sample,29,CCCCc1c2c(cc3nsnc13)N(C)CN2C(C)CC,-2.78 
sample,30,CCCN1CN(C(C)CC)c2c1c(C)c1nsnc1c2C,-2.69 
sample,31,CCCCc1c2c(cc3nsnc13)N(C)CN2CCC,-2.75 
sample,32,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C(C)CC,-2.72 
sample,33,CCCN1CN(CC)c2cc3nsnc3c(C(C)CC)c21,-2.76 
sample,34,CCc1c2c(cc3nsnc13)N(C(C)C)CN2CC(C)C,-2.78 
sample,35,CCCCc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.83 
sample,36,CCCCc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.77 
sample,37,CCCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.83 
sample,38,CCCN1CN(CC)c2cc3nsnc3c(CC(C)C)c21,-2.82 
sample,39,CCCCc1c2c(cc3nsnc13)N(CC)CN2CC(C)C,-2.82 
sample,40,CCCN1CN(C(C)C)c2cc3nsnc3c(CC(C)C)c21,-2.80 
sample,41,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.60 
sample,42,CCCCc1c2c(cc3nsnc13)N(CC)CN2CCCC,-2.75 
sample,43,CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2CC(C)C,-2.81 
sample,44,CCCN1CN(C(C)CC)c2c1c(CC)c1nsnc1c2C,-2.56 
sample,45,CCc1c2c(c(CC(C)C)c3nsnc13)N(C)CN2CC,-2.81 
sample,46,CCCN1CN(C)c2c1c(CC(C)C)c1nsnc1c2C,-2.72 
sample,47,CCCN1CN(C(C)C)c2c1cc1nsnc1c2CC(C)C,-2.86 
sample,48,CCC(C)N1CN(CC)c2c1cc1nsnc1c2CC(C)C,-2.85 
sample,49,CCC(C)N1CN(CC)c2cc3nsnc3c(CC(C)C)c21,-2.72 
sample,50,CCCN1CCN(CCC)c2c1c(C(C)C)cc1nsnc21,-2.50 
sample,51,CCOC1N(C)c2cc3nsnc3c(CC)c2N1CC(C)C,-2.70 
sample,52,CCC(C)N1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.72 
sample,53,CCCOC1N(C)c2cc3nsnc3c(CCC)c2N1C,-2.73 
sample,54,CCCN(C)c1c2c(cc3nsnc13)N(CCC)CN2C,-2.78 
sample,55,CCN1CN(C)c2cc3nsnc3c(N(CC)CC)c21,-2.73 
sample,56,CC(C)OCCc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.66 
sample,57,CCCCc1c2c(cc3nsnc13)N(C)CN2CCCC,-2.70 
sample,58,CCN1CN(CC)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,59,CCCN1CN(CC)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,60,CCCN(C)c1c2c(cc3nsnc13)N(C)CN2C,-2.74 
sample,61,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97 
sample,62,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85 
sample,63,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.80 
sample,64,CCCN1CN(CCC)c2c1cc1nsnc1c2CC,-2.78 
sample,65,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77 
sample,66,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78 
sample,67,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,-2.79 
sample,68,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72 
sample,69,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65 
sample,70,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,-3.07 
sample,71,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74 
sample,72,CCCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.72 
sample,73,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,74,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79 
sample,75,CCC(C)N1CN(CC(C)C)c2cc3nsnc3cc21,-2.80 
