batch,Iteration,SMILES,Ered 
initial,0,CCN1CN(C)c2c1c(OC)c1nsnc1c2OC,-2.60 
initial,1,Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.70 
initial,2,CC/[N+](=C(/C)[O-])c1c2c(c(C)c3nsnc13)C1CCC2CC1,-2.26 
initial,3,CCCCC(=O)Oc1c2c(cc3nsnc13)N(C)CN2C,-2.57 
initial,4,CCN1CN(CC(C)C)c2cc3nsnc3c(N(C)C)c21,-2.79 
initial,5,CCOc1c2c(c(C(C)CC)c3nsnc13)N(CC)CN2C,-2.61 
initial,6,CCC/C([O-])=[N+](/C)c1c2c(cc3nsnc13)C1CCC2CC1,-2.19 
initial,7,CCC(C)N(C)c1cccc2nsnc12,-2.28 
initial,8,CCCN(C)CCN1CN(C)c2cc3nsnc3cc21,-2.73 
initial,9,CCC(C)Nc1c2c(cc3nsnc13)OCCO2,-2.36 
sample,1,CC(C)CN1CCN(C)c2cc3nsnc3c(N(C)C)c21,-2.60 
sample,2,CC(C)CN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.73 
sample,3,CCN(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.78 
sample,4,CCOCCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.74 
sample,5,CCCN1CN(CC)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,6,CCCN(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.77 
sample,7,CCN1CN(CC)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,8,CCN1CN(C)c2cc3nsnc3c(N(CC)CC)c21,-2.73 
sample,9,CCCN1CN(CCOCC)c2cc3nsnc3cc21,-2.77 
sample,10,CCCN1CN(CCOCC)c2c1cc1nsnc1c2C,-2.77 
sample,11,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,-2.77 
sample,12,CCN1c2cc3nsnc3cc2N(CC)C1OCC(C)C,-2.76 
sample,13,CCOC1N(C)c2cc3nsnc3cc2N1CCN(C)C,-2.72 
sample,14,CCN1CN(CCOCC(C)C)c2cc3nsnc3cc21,-2.69 
sample,15,CCOC1N(CC)c2cc3nsnc3c(C)c2N1CC,-2.68 
sample,16,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72 
sample,17,CCCN1CN(CC)c2cc3nsnc3c(N(C)C)c21,-2.83 
sample,18,CCCNc1c2c(c(C)c3nsnc13)N(C)CN2C,-2.58 
sample,19,CCCOCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83 
sample,20,CCOCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.77 
sample,21,CCCOCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.75 
sample,22,CCC(C)N1CN(CCN(C)C)c2cc3nsnc3cc21,-2.76 
sample,23,CCC(C)N1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.80 
sample,24,CC(C)N(c1c2c(cc3nsnc13)N(C)CN2C)C(C)C,-2.77 
sample,25,CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.79 
sample,26,CCC(C)N1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,27,CCN(CCN1CN(C)c2cc3nsnc3cc21)C(C)C,-2.75 
sample,28,CCC(C)N1CN(CC)c2c1cc1nsnc1c2N(C)C,-2.85 
sample,29,CCC(C)N1CN(C)c2c1cc1nsnc1c2N(C)CC,-2.85 
sample,30,CCC(C)N1CN(C)c2cc3nsnc3c(N(C)CC)c21,-2.80 
sample,31,CCCN(C)c1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.80 
sample,32,CCCN1CN(C)c2cc3nsnc3c(N(C)C(C)C)c21,-2.73 
sample,33,CCC(C)N(CC)c1c2c(cc3nsnc13)N(C)CN2C,-2.76 
sample,34,CC(C)N(C)c1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.80 
sample,35,CCN(C)c1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.82 
sample,36,CCN1CN(C)c2cc3nsnc3c(N(CC)C(C)C)c21,-2.78 
sample,37,CCN1CN(CC)c2c1cc1nsnc1c2N(C)C(C)C,-2.79 
sample,38,CCN(CC)c1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.76 
sample,39,CCC(C)N(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.81 
sample,40,CCC(C)N(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.75 
sample,41,CCCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.72 
sample,42,CC(C)N(C)c1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.79 
sample,43,CCc1c2c(cc3nsnc13)N(CCN(C)CC)CN2C,-2.76 
