batch,Iteration,SMILES,Ered 
initial,0,CCC1COc2cc3nsnc3cc2O1,-2.29 
initial,1,COC1COc2c(C)cc3nsnc3c21,-2.27 
initial,2,CC/[N+](=C(/C)[O-])c1c2c(cc3nsnc13)C1CCC2C1,-2.24 
initial,3,C/C([O-])=[N+](/C)c1c2c(cc3nsnc13)C1CCC2CC1,-2.19 
initial,4,CC(C)N(c1c2c(cc3nsnc13)N(C)CN2C)C(C)C,-2.77 
initial,5,CCCCc1c2c(cc3nsnc13)N(C)CN2C,-2.72 
initial,6,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.80 
initial,7,CCc1c2c(c(CCN(C)CC)c3nsnc13)C1CCC2C1,-2.49 
initial,8,CCCN1CN(CC)c2c1c(C)c1nsnc1c2CC,-2.62 
initial,9,CCCc1c2c(c(C(C)C)c3nsnc13)C1CCC2C1,-2.51 
sample,1,CCC(C)N1CN(C(C)C)c2cc3nsnc3cc21,-2.80 
sample,2,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82 
sample,3,CC(C)N1CN(CCN(C)C)c2cc3nsnc3cc21,-2.81 
sample,4,CC(C)N(C)c1c2c(cc3nsnc13)N(C)CN2C,-2.74 
sample,5,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,6,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77 
sample,7,CC(C)CN(C)CCN1CN(C)c2cc3nsnc3cc21,-2.69 
sample,8,CC(C)N1CN(C(C)C)c2cc3nsnc3cc21,-2.96 
sample,9,CCN1CN(CC)c2c1c(C)c1nsnc1c2C,-2.84 
sample,10,Cc1cc(N(C)C)c(N(C)C)c2nsnc12,-2.39 
sample,11,CCOC1N(CC)c2cc3nsnc3cc2N1CC,-2.74 
sample,12,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,-2.90 
sample,13,Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.70 
sample,14,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79 
sample,15,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71 
sample,16,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81 
sample,17,COC1N(C(C)C)c2cc3nsnc3cc2N1C(C)C,-2.65 
sample,18,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83 
sample,19,CC(C)c1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.60 
sample,20,CCN1CN(CCN(C)C)c2cc3nsnc3c(C)c21,-2.73 
sample,21,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,-2.75 
sample,22,CCN1CN(CCN(CC)C(C)C)c2cc3nsnc3cc21,-2.90 
sample,23,CCC(C)N(C)CCN1CN(CC)c2cc3nsnc3cc21,-2.82 
sample,24,CCN(CCN1CN(C)c2cc3nsnc3cc21)C(C)C,-2.75 
sample,25,CCCc1c2c(cc3nsnc13)N(CC)CN2CCN(C)C,-2.77 
sample,26,CN(C)c1c(N(C)C)c(N(C)C)c2nsnc2c1N(C)C,-2.38 
sample,27,CCC(C)N1CN(CCN(C)C)c2cc3nsnc3cc21,-2.76 
sample,28,CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC(C)C,-2.73 
sample,29,CCCCOCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.75 
sample,30,COC1N(C)c2cc3nsnc3cc2N1CCN(C)C(C)C,-2.72 
sample,31,CC(C)CN(C)c1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.79 
sample,32,CCC(C)N1CCN(C)c2c1cc1nsnc1c2N(C)CC,-2.58 
sample,33,CCC(C)N1CN(CC(C)C)c2cc3nsnc3cc21,-2.80 
sample,34,CCN(C)CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78 
sample,35,CCN1CN(CC(C)C)c2cc3nsnc3c(CC(C)C)c21,-2.74 
sample,36,CCC(C)c1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,-2.71 
sample,37,CCN1CN(CCOCC(C)C)c2cc3nsnc3c(C)c21,-2.66 
sample,38,Cc1c2c(cc3nsnc13)N(C(C)C)CN2CC(C)C,-2.79 
sample,39,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71 
sample,40,CCN1CN(C(C)C)c2cc3nsnc3c(OCC(C)C)c21,-2.76 
sample,41,CCN(C)CCOc1c2c(cc3nsnc13)N(C)CN2CC,-2.70 
sample,42,CCC(C)N1CN(C(C)C)c2c1cc1nsnc1c2C,-2.81 
sample,43,CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.73 
sample,44,CCOC1N(C)c2c(cc3nsnc3c2C)N1C(C)C,-2.65 
sample,45,CCCN(C)CCN1CN(CC)c2cc3nsnc3cc21,-2.75 
sample,46,CCCN1CN(CC)c2c1c(NCC)c1nsnc1c2NC,-2.63 
sample,47,CCCN1CN(CCC)c2c1cc1nsnc1c2N(C)CC,-2.90 
sample,48,CCCN1CN(C)c2cc3nsnc3c(N(CC)CCC)c21,-2.81 
sample,49,CCN1CN(C(C)C)c2cc3nsnc3c(N(CC)CC)c21,-2.79 
sample,50,CC(C)COc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,-2.70 
sample,51,CCN1CN(CC)c2c1cc1nsnc1c2N(C)CC(C)C,-2.78 
sample,52,CCCCc1c2c(cc3nsnc13)N(CC)CN2CCCC,-2.75 
sample,53,CCCCOc1c2c(cc3nsnc13)N(CC)CN2CCC,-2.71 
sample,54,CCC(C)Nc1ccc(NCCN(C)C)c2nsnc12,-2.41 
sample,55,CCCCc1c2c(c(CCCC)c3nsnc13)N(C)CN2C,-2.74 
sample,56,CCCN1CN(CCC)c2c1c(C)c1nsnc1c2C,-2.71 
sample,57,CCCN1CCN(CCC)c2c1c(C(C)C)cc1nsnc21,-2.50 
