batch,Iteration,SMILES,Ered 
initial,0,CCC(C)Nc1c2c(cc3nsnc13)OCCO2,-2.36 
initial,1,CNc1cc2c(c3nsnc13)C(C)(C)CO2,-2.46 
initial,2,CCc1c2c(cc3nsnc13)OCCN2CC,-2.44 
initial,3,CCCc1c2c(c(CC)c3nsnc13)C1CCC2CC1,-2.52 
initial,4,CCC(C)C1COc2ccc3nsnc3c2O1,-2.27 
initial,5,COCCN(C)c1c2c(cc3nsnc13)C1CCC2C1,-2.39 
initial,6,CCCc1c2c(cc3nsnc13)N(C)CN2C,-2.72 
initial,7,CCCNc1c(CC)ccc2nsnc12,-2.36 
initial,8,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77 
initial,9,CC1COc2c(c3c(c4nsnc24)CCO3)O1,-2.40 
sample,1,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71 
sample,2,CCCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.92 
sample,3,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.77 
sample,4,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71 
sample,5,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61 
sample,6,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81 
sample,7,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85 
sample,8,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71 
sample,9,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97 
sample,10,CCCCN1CN(C)c2c1cc1nsnc1c2CCC,-2.74 
sample,11,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.60 
sample,12,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72 
sample,13,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65 
sample,14,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.80 
sample,15,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.84 
sample,16,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,-2.79 
sample,17,CCCc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.83 
sample,18,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,19,CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,-2.72 
sample,20,CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,-2.47 
sample,21,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78 
sample,22,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,23,CCN1CN(CC(C)C)c2c1cc1nsnc1c2C,-2.75 
