batch,Iteration,SMILES,Ered 
initial,0,CCCCNc1c2c(cc3nsnc13)OC(C)CO2,-2.56 
initial,1,CCCCC1COc2cc3nsnc3c(NC)c2O1,-2.42 
initial,2,CCCOc1ccc(CC)c2nsnc12,-2.31 
initial,3,c1cc2nsnc2c2c1CCCO2,-2.29 
initial,4,CCc1ccc(C(C)CC)c2nsnc12,-2.26 
initial,5,CCc1c2c(cc3nsnc13)OC(C(C)C)CO2,-2.38 
initial,6,CCN(C)c1c(N(C)C)ccc2nsnc12,-2.40 
initial,7,CCOc1cc(OC(C)C)c2nsnc2c1,-2.29 
initial,8,CCc1c2c(cc3nsnc13)C(C)CC2,-2.37 
initial,9,CCc1cc2nsnc2c2c1OCC(CC)O2,-2.38 
sample,1,CC(C)OCCNc1c2c(cc3nsnc13)OCCO2,-2.39 
sample,2,CCCCNc1c2c(c(C)c3nsnc13)OCCO2,-2.49 
sample,3,COCCNc1c2c(cc3nsnc13)OC(C)CO2,-2.40 
sample,4,CCCCNc1c2c(cc3nsnc13)N(C)CN2CC,-2.74 
sample,5,CCCCNc1c2c(cc3nsnc13)N(C)CCN2C,-2.62 
sample,6,CCCOCCN1CN(C)c2cc3nsnc3cc21,-2.69 
sample,7,CCOCCNc1c2c(c(C)c3nsnc13)C1CCC2C1,-2.56 
sample,8,CCCCOc1c2c(cc3nsnc13)N(CC)CN2C,-2.81 
sample,9,CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.44 
sample,10,CCOCCN1CN(CC)c2cc3nsnc3cc21,-2.79 
sample,11,CCCCOC1N(C)c2cc3nsnc3cc2N1C,-2.70 
sample,12,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,-2.66 
sample,13,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76 
sample,14,CCOc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.77 
sample,15,CCOc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.75 
sample,16,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,-2.75 
sample,17,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62 
sample,18,CC(C)CN1CCN(C)c2c1cc1nsnc1c2N(C)C,-2.60 
sample,19,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82 
sample,20,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,-2.77 
sample,21,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73 
sample,22,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.79 
sample,23,CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.74 
sample,24,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79 
sample,25,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.68 
sample,26,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.73 
sample,27,CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.61 
sample,28,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68 
sample,29,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.73 
sample,30,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,31,CCC(C)N1CN(CC)c2c1cc1nsnc1c2OC,-2.75 
sample,32,CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,-2.74 
