,SMILES,MPP(A),Ered_ag
63,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,0.949599,-2.77
64,CCN1CCN(C)c2cc3nsnc3c(C(C)C)c21,1.188097,-2.62
65,CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,1.076291,-2.55
66,CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.358943,-2.66
67,CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,1.03854,-2.68
68,CCCOC1N(C)c2cc3nsnc3cc2N1CC,1.103299,-2.7
69,CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.060956,-2.75
70,CCCN1CCN(C)c2cc3nsnc3c(C)c21,0.743866,-2.6500000000000004
71,CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.004744,-2.6100000000000003
72,CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.25754,-2.5
73,CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,0.919785,-2.54
74,CCCN1CCN(C(C)C)c2cc3nsnc3cc21,0.990081,-2.67
75,CCCN1CCN(CC)c2c1cc1nsnc1c2NC,1.09603,-2.73
76,CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.066479,-2.74
77,CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,1.072114,-2.74
78,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,0.917254,-2.72
79,CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,0.947558,-2.63
80,CCCCN1CCN(C)c2cc3nsnc3c(C)c21,0.816936,-2.72
81,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,0.89579,-2.73
82,CCN1c2cc3nsnc3cc2N(CC)C1OC,0.794544,-2.96
83,CCN1CCN(C)c2c1cc1nsnc1c2NC,0.887267,-2.62
84,CCCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.223171,-2.66
85,CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,0.943177,-2.47
86,Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,0.950467,-2.7
87,CCN1CCc2c1cc1nsnc1c2C,0.676999,-2.59
88,CNc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,0.973175,-2.64
89,CCNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.24952,-2.63
90,CCN1CCN(CC)c2c1c(C)c1nsnc1c2NC,0.869907,-2.56
91,CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.14203,-2.66
92,CCN1CC(C)c2c1cc1nsnc1c2C,0.857032,-2.66
93,Cc1c2c(cc3nsnc13)N(C)C(C)CC2,0.778189,-2.58
94,CCCN1CCN(C)c2c1cc1nsnc1c2C,1.013975,-2.6100000000000003
95,CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,0.988138,-2.47
96,CCCCN1CCN(C)c2cc3nsnc3c(CCC)c21,1.241551,-2.93
97,CCc1c2c(cc3nsnc13)N(CC)CCO2,0.823785,-2.58
98,CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC,0.884613,-2.89
99,CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2CC,1.1793,-2.48
100,CCCOC1N(C)c2cc3nsnc3cc2N1CCC,1.09602,-2.73
101,CCC(C)c1c2c(cc3nsnc13)N(CC)CCN2C,1.137756,-2.6100000000000003
102,CCN1CCN(CC(C)C)c2c1cc1nsnc1c2C,1.314116,-2.66
103,CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.043108,-2.66
104,CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,1.148761,-2.71
105,CCOC1N(C)c2cc3nsnc3c(C)c2N1CC,0.875999,-3.0100000000000002
106,CNc1c2c(cc3nsnc13)N(C)C(C)C2,0.752387,-2.6500000000000004
107,CCC(C)N1c2cc3nsnc3cc2CC1C,0.947715,-2.5300000000000002
108,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,0.848285,-2.6
109,CCCN1CCN(CC)c2c1c(C)c1nsnc1c2C,0.85321,-2.49
110,COCCN1CCN(C)c2cc3nsnc3c(C)c21,1.404089,-2.64
111,CNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,0.974767,-2.64
112,COc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,0.994458,-2.6
113,CCN1CCN(C)c2c1cc1nsnc1c2NCCOC,1.108595,-2.89
114,CCN1CCc2c1cc1nsnc1c2NC,0.77084,-2.56
115,Cc1c2c(cc3nsnc13)N(C(C)C)CCO2,0.819035,-2.56
116,CCNc1c2c(cc3nsnc13)N(C)CCO2,0.609886,-2.5700000000000003
117,CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,0.973951,-2.64
118,CCN1CCOc2c1cc1nsnc1c2C,0.71473,-2.59
119,CCN1CCOc2c1cc1nsnc1c2NC,0.676187,-2.59
120,CCCN1c2cc3nsnc3cc2N(C)C1OC,0.707764,-2.73
121,CC(C)CN1c2cc3nsnc3cc2CC1C,0.852755,-2.5700000000000003
122,CCN1CCN(C)c2cc3nsnc3c(NC)c21,1.086659,-2.62
123,COc1cc2nsnc2c2c1CCCN2C,0.650104,-2.5
124,CC(C)CN1CCc2cc3nsnc3cc21,0.888925,-2.58
125,CNc1c2c(cc3nsnc13)N(C)CC2C,0.823541,-2.66
126,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,1.151248,-2.79
127,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,1.005044,-2.76
128,CCCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.026529,-2.6100000000000003
129,CCN1CCN(CCOC)c2cc3nsnc3c(NC)c21,1.255889,-2.64
130,CNc1c2c(cc3nsnc13)N(C)CC2,0.553883,-2.54
131,CCOc1cc2nsnc2c2c1C(C)CCN2,0.796524,-2.48
132,CCCOc1cc2nsnc2c2c1CCCN2,0.827757,-2.49
133,CCCCN1CCN(C)c2c1cc1nsnc1c2C,0.857085,-2.63
134,CCN1c2c(cc3nsnc3c2C)N(C)C1OC,1.178761,-2.71
135,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,1.025516,-2.72
136,CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.084557,-2.8200000000000003
137,CCN1c2cc3nsnc3c(C)c2N(C)C1OC,0.967113,-2.63
138,CCN1CN(CC)c2c1c(C)c1nsnc1c2C,0.689449,-2.84
139,CCN(C)c1cc2nsnc2c2c1OCCN2,1.161679,-2.31
140,CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,1.178099,-2.75
141,CCCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,1.292214,-2.6
142,CCCCN1CN(CCCC)c2cc3nsnc3cc21,1.004772,-2.72
143,COc1cc2nsnc2c2c1CCCN2,0.537209,-2.49
144,CCCN1CN(CC)c2c1c(C)c1nsnc1c2C,0.700255,-2.7
145,CCCN1CN(CC)c2c1cc1nsnc1c2C,0.786449,-2.75
146,CNc1c2c(cc3nsnc13)N(C)CCO2,0.537023,-2.58
147,COc1cc2nsnc2c2c1C(C)CCN2,0.759222,-2.47
148,COC1N(C)c2cc3nsnc3c(C)c2N1C(C)C,1.187151,-3.05
149,CCCN1CCN(C)c2c1cc1nsnc1c2N(C)CC,1.285023,-2.5300000000000002
150,CC(C)Oc1cc(N(C)C)c2nsnc2c1,0.828895,-2.56
151,CCCN1CN(C)c2c1cc1nsnc1c2NCC,0.859908,-2.63
152,CCNc1c(C)c(OCC)cc2nsnc12,0.773612,-2.18
153,CCN1CN(CC)c2cc3nsnc3cc21,0.572995,-2.73
154,CCNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.266169,-2.5
155,CCCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,0.991242,-2.77
156,CCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,0.950545,-2.84
157,CCCN1CCN(CC)c2c1cc1nsnc1c2N(C)C,1.094069,-2.64
158,CNc1c(C)c(OC(C)C)cc2nsnc12,0.748657,-2.49
159,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,1.141901,-3.0700000000000003
160,CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,1.048268,-2.74
161,CCC(C)N1CN(CC)c2c1cc1nsnc1c2NC,1.101824,-2.56
162,CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,0.958384,-2.7
163,COc1cc2nsnc2c2c1OCCCC2,0.73348,-2.24
164,CCCN1CN(CC)c2cc3nsnc3cc21,0.827172,-2.8200000000000003
165,CCOc1cc2nsnc2cc1OCC,0.56553,-2.3200000000000003
166,CCOc1cc(N(C)C)c2nsnc2c1,0.586403,-2.63
167,CC1Cc2c(c3c(c4nsnc24)NCCC3)O1,0.649251,-2.49
168,COc1cc2nsnc2c2c1OC(C)CC2,0.822807,-2.49
169,CCCCN1CN(C)c2c1cc1nsnc1c2NCC,0.788336,-2.85
170,CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.322587,-2.67
171,CCNc1c(C)c(OC)cc2nsnc12,0.736884,-2.27
172,Cc1cc2nsnc2c2c1C(C)CCN2,0.800305,-2.5300000000000002
173,CCC(C)N1CN(C)c2c1cc1nsnc1c2NC,1.152888,-2.6500000000000004
174,CCOc1cc2nsnc2c(NC)c1C,0.4901,-2.5300000000000002
175,CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,0.936669,-2.47
176,CCN1CN(CC(C)C)c2cc3nsnc3cc21,0.904452,-2.71
177,CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,1.001947,-2.63
178,CCCCN1c2cc3nsnc3cc2N(CC)C1OC,0.834541,-2.75
179,Cc1cc2nsnc2c2c1CCC(C)N2,0.804973,-2.37
180,COc1cc2nsnc2c2c1CC(C)CN2,0.556849,-2.56
181,CCN1CN(C(C)C)c2cc3nsnc3cc21,0.930333,-2.8
182,COc1cc2nsnc2cc1OCC(C)C,0.675768,-2.48
183,CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,0.833727,-2.6100000000000003
184,CCOCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.314777,-2.55
185,CCCN1CCN(C(C)C)c2cc3nsnc3c(OC)c21,1.330504,-2.43
186,CCNc1cc(OCC(C)C)cc2nsnc12,0.845199,-2.48
187,CCOC1N(C)c2cc3nsnc3cc2N1CC,0.877251,-2.71
188,CCNc1cc(OCC)cc2nsnc12,0.761299,-2.42
189,CNc1c(N(C)C)c(OC)cc2nsnc12,0.85396,-2.64
190,CCCOc1cc2nsnc2c(NC)c1C,0.518535,-2.49
191,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,0.964072,-2.8200000000000003
192,CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,1.073691,-2.6900000000000004
193,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.060878,-2.77
194,CCC1Oc2c(cc3nsnc3c2N(C)C)OC1C,1.156639,-2.41
195,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,0.916357,-2.72
196,CCN1CN(CC(C)C)c2c1cc1nsnc1c2NC,1.326713,-2.6100000000000003
197,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,1.033707,-2.6500000000000004
198,CCCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.018484,-2.33
199,CCN(CC)c1c2c(cc3nsnc13)OCC(C)O2,1.245884,-2.3200000000000003
200,C1CNc2c(c3c(c4nsnc24)CCO3)C1,0.578808,-2.48
201,CCN1CCN(C)c2c1c(NC)c1nsnc1c2C,1.072024,-2.58
202,CCCCN1CN(CC)c2c1cc1nsnc1c2C,0.926777,-2.71
203,COC1N(C)c2c(cc3nsnc3c2C)N1C(C)C,0.976916,-2.64
204,CCNc1c2c(c(C)c3nsnc13)N(CC)CCN2C,0.958824,-2.5700000000000003
205,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,1.091798,-2.81
206,CCN1CN(C)c2c1c(C)c1nsnc1c2NC,0.770648,-2.68
207,CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,0.829748,-2.71
208,CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C,0.968862,-2.71
209,CCOc1cc(NCC(C)C)c2nsnc2c1,0.927798,-2.4000000000000004
210,CCc1c2c(c(NC)c3nsnc13)N(C)CCN2CC,1.335036,-2.49
211,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,0.856939,-2.84
212,CNc1c2c(c(C)c3nsnc13)N(C)CCN2C(C)C,1.109555,-2.59
213,CCOC1N(C)c2cc3nsnc3c(NC)c2N1C,1.033657,-2.71
214,COc1cc2nsnc2c(NC(C)C)c1C,0.843865,-2.7800000000000002
215,CNc1c(C(C)C)c(OC)cc2nsnc12,0.893509,-2.51
216,CNc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,0.953868,-2.6500000000000004
217,CC1CCNc2c1c1c(c3nsnc23)CCO1,0.777448,-2.5300000000000002
218,CCNc1cc(OC)cc2nsnc12,0.640423,-2.34
219,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,1.137059,-2.71
220,COc1c2c(cc3nsnc13)N(C(C)C)CCN2C,0.994192,-2.59
221,CCC(C)N1CCN(C)c2c1c(NC)c1nsnc1c2C,1.005935,-2.59
222,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,1.00666,-2.9000000000000004
223,CCNc1c2c(cc3nsnc13)OCCC2,0.572336,-2.41
224,CCCc1c(OC)cc2nsnc2c1NC,0.726882,-2.47
225,CNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.157144,-2.95
226,CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.165684,-2.85
227,CCc1c2c(c(C)c3nsnc13)N(CC)CN2CC,0.761216,-2.7800000000000002
228,CCc1c2c(cc3nsnc13)N(CC)CN2CC,0.941325,-2.74
229,CCCNc1c2c(cc3nsnc13)OCCC2,0.724145,-2.4000000000000004
230,CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,0.951966,-2.72
231,CCOc1cc(NC(C)C)c2nsnc2c1,0.947069,-2.26
232,COc1cc2nsnc2c2c1CCCCN2,0.723365,-2.43
233,CCNc1c(CC)c(C)cc2nsnc12,0.956551,-2.3600000000000003
234,CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2C,0.962147,-2.8600000000000003
235,CCOc1cc(NC(C)CC)c2nsnc2c1,0.926527,-2.62
236,CCNc1c2c(cc3nsnc13)OCC(C)C2,0.755396,-2.42
237,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,1.029982,-2.85
238,CCN1c2c(ccc3nsnc23)CCC1C,0.697697,-2.33
239,CCNc1cc(OC(C)CC)cc2nsnc12,1.002695,-2.5
240,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,0.982739,-2.73
241,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,0.866845,-2.72
242,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,0.964,-2.75
243,CNc1c2c(cc3nsnc13)OC(C)CC2,0.571339,-2.4400000000000004
244,CNc1c(C)c2c(c3nsnc13)CC(C)O2,0.597891,-2.45
245,CCc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,0.987092,-2.63
246,CCOCCN1CN(CC)c2cc3nsnc3cc21,0.775739,-2.79
247,CCN1CN(CC)c2c1cc1nsnc1c2C,0.70641,-2.76
248,CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,0.942068,-2.63
249,CCCN1CN(CCC)c2cc3nsnc3cc21,0.716009,-2.81
250,CCCc1c(C)cc2nsnc2c1NCC,0.945148,-2.41
251,CCN1CN(C(C)C)c2c1cc1nsnc1c2C,0.872337,-2.6
252,CCCOc1cc(NC(C)C)c2nsnc2c1,0.873804,-2.62
253,CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.119709,-2.81
254,CCCCN1CN(C)c2cc3nsnc3cc21,0.985148,-2.74
255,CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,1.155952,-2.7
256,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,1.05968,-2.74
257,CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,0.885313,-2.51
258,CCCN1CN(CCC)c2c1cc1nsnc1c2C,0.790266,-2.8
259,CCCN1c2cc3nsnc3c(C)c2N(C)C1OC,1.123283,-2.6500000000000004
260,CCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.056969,-2.6
261,CNc1c(N(C)C)c(C)cc2nsnc12,0.878787,-2.37
262,CCN1CN(C)c2c1c(C)c1nsnc1c2C,0.763783,-2.73
263,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,0.901979,-2.7800000000000002
264,CCN(C)c1cc(OC)cc2nsnc12,0.598806,-2.52
265,CC(C)CN1CN(C)c2cc3nsnc3cc21,0.810123,-2.8
266,CCCN1CN(C(C)C)c2cc3nsnc3cc21,0.858183,-2.83
267,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,0.876416,-2.74
268,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,0.930158,-2.6100000000000003
269,CCCN1CN(C)c2c1cc1nsnc1c2C,0.851266,-2.73
270,CNc1c2c(c(C)c3nsnc13)OCCC2,0.578923,-2.47
271,CNc1c2c(cc3nsnc13)OCCC2C,0.782634,-2.42
272,CCNc1c2c(cc3nsnc13)OC(C)C2C,0.982307,-2.48
273,CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,0.952867,-2.72
274,CC1CNc2c(c3c(c4nsnc24)CCO3)C1,0.860681,-2.42
275,CCNc1c2c(cc3nsnc13)N(CC)CN2C,0.822132,-2.72
276,CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,0.987551,-2.73
277,Cc1c2c(cc3nsnc13)N(C)CN2C(C)C,0.842856,-2.76
278,CCC(C)OC1N(C)c2cc3nsnc3cc2N1C,0.959599,-2.74
279,CNc1c2c(cc3nsnc13)OCCC2,0.541204,-2.4400000000000004
280,CCCCN1CN(CC)c2cc3nsnc3c(C)c21,0.923482,-2.92
281,CCNc1c2c(cc3nsnc13)N(CC)CN2CC,1.047207,-2.99
282,CCN1c2cc3nsnc3cc2N(C)C1OC,0.805257,-2.74
283,COc1cc(NC(C)C)c2nsnc2c1,0.772152,-2.62
284,Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,0.731978,-2.7800000000000002
285,CCCCN1CN(CCOC)c2cc3nsnc3cc21,0.899487,-2.62
286,CNc1cc2c(c3nsnc13)CCC(C)O2,0.56432,-2.5700000000000003
287,CNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.022982,-2.64
288,CCCOc1cc(NC)c2nsnc2c1,0.474573,-2.55
289,CNc1c2c(cc3nsnc13)OCC(C)C2,0.560675,-2.4400000000000004
290,CCNc1c(N(C)C)c(C)cc2nsnc12,1.008059,-2.3600000000000003
291,CCCCN1CN(CCC)c2cc3nsnc3cc21,0.981832,-2.77
292,CCC(C)N1CN(C)c2cc3nsnc3c(C)c21,0.847578,-2.99
293,CNc1c2c(c(C)c3nsnc13)N(C(C)C)CCN2C,1.011763,-2.5
294,CCN1CN(C(C)C)c2c1c(C)c1nsnc1c2C,0.85576,-2.68
295,Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,0.832409,-2.7
296,Cc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,0.915304,-2.66
297,CCCCOc1cc(NC)c2nsnc2c1,0.664508,-2.48
298,CCN1CN(C)c2c1c(NC)c1nsnc1c2C,0.832978,-2.63
299,CCNc1c2c(c(OC)c3nsnc13)N(C)CCN2C,0.950536,-2.3200000000000003
300,CCCOc1cc(NCC)c2nsnc2c1,0.504493,-2.5
301,CCC(C)N1CCN(CC)c2cc3nsnc3c(OC)c21,1.075691,-2.6500000000000004
302,CCc1c2c(c(C)c3nsnc13)CC(C)O2,0.727937,-2.48
303,COc1cc2nsnc2c2c1C(C)(C)CN2,0.881979,-2.43
304,CNc1c(C)c2c(c3nsnc13)C(C)CO2,0.593543,-2.46
305,CNc1c(C)c2c(c3nsnc13)CCO2,0.503532,-2.45
306,Cc1c2c(c(C)c3nsnc13)OC(C)C2,0.580491,-2.47
307,CNc1cc(OC)cc2nsnc12,0.381247,-2.46
308,CNc1c2c(cc3nsnc13)CCC2C,0.670593,-2.22
309,CC(C)CNc1c2c(cc3nsnc13)C1CCC2C1,0.871975,-2.5
310,CCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.05088,-2.56
311,CNc1c2c(cc3nsnc13)N(CCOC)CCN2C,0.87026,-2.6
312,CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,0.912081,-2.67
313,CCCN1CCN(CC)c2cc3nsnc3c(OC)c21,0.924257,-2.55
314,CCNc1c2c(c(CC)c3nsnc13)C1CCC2C1,0.978912,-2.3200000000000003
315,CCNc1c2c(cc3nsnc13)N(C)CN2C(C)C,0.880667,-2.74
316,CNc1cc2c(c3nsnc13)CC(C)CO2,0.85801,-2.43
317,CCNc1c2c(cc3nsnc13)OCC2C,0.772328,-2.41
318,CCCN1CN(C)c2c1cc1nsnc1c2NC,0.770364,-2.58
319,CCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.147445,-2.52
320,CNc1c2c(c(C)c3nsnc13)OC(C)C2,0.587986,-2.58
321,CNc1c2c(cc3nsnc13)OCCN2C,0.780892,-2.45
322,CCC1Cc2c(c(C)c3nsnc3c2C)O1,0.83364,-2.43
323,CCNc1c2c(cc3nsnc13)OC(C)C(C)O2,0.825713,-2.54
324,CNc1cc2c(c3nsnc13)CCCO2,0.539213,-2.48
325,CCCCNc1cc(C)cc2nsnc12,1.060006,-2.38
326,CCNc1cc2c(c3nsnc13)C(C)(C)CO2,0.866296,-2.49
327,CCN1CN(C(C)C)c2c1cc1nsnc1c2NC,0.937494,-2.8
328,Cc1c2c(c(OC(C)C)c3nsnc13)OC(C)CO2,1.050731,-2.3200000000000003
329,CCCCN1CN(CC)c2cc3nsnc3cc21,0.832662,-2.74
330,CCCN1CN(CC)c2cc3nsnc3c(NC)c21,0.988271,-2.74
331,CCN1CN(C)c2c1cc1nsnc1c2C,0.673559,-2.74
332,CCC1Oc2c(cc3nsnc3c2C)OC1C(C)C,1.005079,-2.52
