Index,smiles,complexity,atoms,DelE_red(V),MW
1136,CCCNc1c2c(cc3nsnc13)CC(C)C2,4,17,1.42,247.1143185
1137,COc1cc2nsnc2c(C)c1C(C)C,6,15,1.43,222.0826841
1138,CNc1cc2c(c3nsnc13)N(C)CCO2,4,16,1.39,236.073182
1139,COC1N(C(C)C)c2cc3nsnc3cc2N1C(C)C,6,20,1.2,292.1357823
1140,CCOc1c2c(cc3nsnc13)C(C)(C)CO2,4,17,1.53,250.0775987
1141,CCNc1c2c(cc3nsnc13)C(C)CC2,4,16,1.43,233.0986685
1142,Cc1ccc(CCN(C)C)c2nsnc12,6,15,1.59,221.0986685
1143,Cc1c2c(cc3nsnc13)OCCN(C)C2,6,16,1.6,235.077933
1144,CNc1cc2c(c3nsnc13)OCC(C)O2,4,16,1.44,237.0571976
1145,CCN(C)CCNc1cccc2nsnc12,4,16,1.51,236.1095675
1146,CCN1CCN(C)c2c1c(C(C)C)c1nsnc1c2C,8,20,1.26,290.1565177
1147,CCCOc1ccc2nsnc2c1,2,13,1.65,194.0513839
1148,CCCOc1ccc(C(C)CC)c2nsnc12,4,17,1.53,250.1139842
1149,CCOc1cc(NC)c2nsnc2c1OC,6,16,1.46,239.0728477
1150,CCCC1COc2cc3nsnc3c(CC(C)C)c2O1,4,20,1.47,292.1245489
1151,Cc1cc2nsnc2c2c1CCCO2,4,14,1.5,206.0513839
1152,CCN(CC)c1ccc2nsnc2c1C,5,15,1.54,221.0986685
1153,Cc1c2c(cc3nsnc13)CC(C)O2,4,14,1.45,206.0513839
1154,CCN(CC)c1ccc2nsnc2c1OC,5,16,1.53,237.0935831
1155,CCOc1c(CC)cc2nsnc2c1C,6,15,1.56,222.0826841
1156,CCCNc1c2c(c(OCC)c3nsnc13)C1CCC2C1,4,21,1.4,303.1405333
1157,CC(C)CN1CCN(C)c2cc3nsnc3cc21,4,18,1.15,262.1252176
1158,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,7,19,1.09,277.1361166
1159,COc1c2c(cc3nsnc13)OC(C)C(C)O2,6,17,1.55,252.0568632
1160,CNc1c2c(cc3nsnc13)C(C)(C)CO2,4,16,1.43,235.077933
1161,CCC(C)c1c2c(c(C)c3nsnc13)C1CCC2CC1,4,20,1.33,286.1503697
1162,CC(C)COc1c2c(cc3nsnc13)N(C)CN2C,6,19,1.2,278.1201322
1163,CCOCCN(C)c1cccc2nsnc12,4,16,1.53,237.0935831
1164,CN(C)CCc1c2c(cc3nsnc13)N(C)CCN2C,8,20,1.19,291.1517667
1165,Cc1cc2nsnc2c2c1CCC2,4,13,1.51,190.0564693
1166,CCOc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,6,21,1.25,306.1514323
1167,CCCOc1cc2nsnc2cc1CCC,4,16,1.46,236.0983341
1168,CCC(C)N(CC)c1ccc2nsnc2c1,3,16,1.42,235.1143185
1169,CC1CNc2c1c1c(c3nsnc23)CCC1,4,16,1.47,231.0830184
1170,CCc1c2c(cc3nsnc13)C(C)CC2,4,15,1.48,218.0877694
1172,CC1COc2c1c(N(C)C)cc1nsnc21,5,16,1.5,235.077933
1173,CCN1CCOc2cc(C)c3nsnc3c21,4,16,1.42,235.077933
1174,CCC(C)c1cc2c(c3nsnc13)CC(C)C2,4,17,1.51,246.1190696
1175,CNc1c(C)c(C(C)C)cc2nsnc12,6,15,1.51,221.0986685
1176,CCCOc1cc(CC)c2nsnc2c1,4,15,1.49,222.0826841
1177,COCCN(C)c1c2c(cc3nsnc13)C1CCC2C1,4,20,1.46,289.1248832
1178,CCCN1CCOc2ccc3nsnc3c21,2,16,1.47,235.077933
1179,CCCOc1c(OC)c(C)cc2nsnc12,6,16,1.61,238.0775987
1180,Cc1c2c(c(C)c3nsnc13)OC(CC(C)C)CO2,6,19,1.41,278.1088988
1181,CCOc1c2c(cc3nsnc13)N(CC(C)C)CN2C,6,20,1.1,292.1357823
1182,CCc1c2c(cc3nsnc13)OC(C(C)C)CO2,4,18,1.47,264.0932488
1183,Cc1c2c(cc3nsnc13)N(C)C(C)C2,5,15,1.29,219.0830184
1184,CCOc1cc(C)c(OCC)c2nsnc12,6,16,1.48,238.0775987
1185,COc1cc2c(c3nsnc13)C(C)(C)CO2,4,16,1.49,236.0619486
1186,COc1cc2nsnc2c2c1C(C)CN2,4,15,1.43,221.062283
1187,CCNc1c2c(c(NC)c3nsnc13)OCCO2,4,18,1.38,266.0837467
1188,CCC1Cc2c3c(c4nsnc4c2N1)CCC3,4,17,1.46,245.0986685
1189,CCCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,6,21,1.23,304.1721678
1190,CCc1c2c(c(NCC(C)C)c3nsnc13)C1CCC2CC1,4,22,1.36,315.1769188
1191,CCCCc1c2c(c(NCC)c3nsnc13)C1CCC2C1,4,21,1.33,301.1612687
1192,COc1c(C)c(C)cc2nsnc12,6,13,1.57,194.0513839
1193,CCCN(C)c1c2c(c(C(C)C)c3nsnc13)C1CCC2C1,5,22,1.29,315.1769188
1194,COCCOc1cc2nsnc2cc1OC,5,16,1.55,240.0568632
1195,CCc1cc(OCC(C)C)c2nsnc2c1,4,16,1.53,236.0983341
1196,COc1cc(N(C)C)c2nsnc2c1OC,7,16,1.51,239.0728477
1197,CCc1c2c(cc3nsnc13)COCCO2,5,16,1.63,236.0619486
1198,CCOc1cc(CCOC)c2nsnc2c1,5,16,1.51,238.0775987
1199,CCNc1c2c(cc3nsnc13)COCC2,5,16,1.53,235.077933
1200,CCC(C)c1c2c(cc3nsnc13)CCC2C,4,17,1.46,246.1190696
1201,CCOc1c2c(c(N(CC)CC)c3nsnc13)C1CCC2C1,5,22,1.35,317.1561834
1202,CC1CCc2c3c(c4nsnc4c2O1)CCO3,4,17,1.45,248.0619486
1203,CC(C)c1c2c(cc3nsnc13)OC(C(C)C)CO2,5,19,1.45,278.1088988
1204,CC(C)c1ccc2nsnc2c1,2,12,1.63,178.0564693
1205,CCc1c2c(c3nsnc3c1C)OCC2,6,15,1.53,220.067034
1206,CCNc1cc2c(c3nsnc13)N(C)CCO2,4,17,1.38,250.0888321
1207,c1c2c(cc3nsnc13)OCCOCCC2,3,16,1.64,236.0619486
1208,CCc1cc(C)c2nsnc2c1N(C)CC,7,16,1.52,235.1143185
1209,CCCCc1c(C)ccc2nsnc12,4,14,1.58,206.0877694
