Index,smiles,complexity,atoms,DelE_red(V),MW,btz,scaffold1,scaffold2,scaffold3,scaffold4,scaffold5
781,CCCCc1c(OC(C)C)ccc2nsnc12,4,17,1.56,250.1139842,1,0,0,0,0,0
782,CCCCc1cc(OC)c(C)c2nsnc12,6,16,1.48,236.0983341,1,0,0,0,0,0
784,CCc1c(N(C)C)c(C)cc2nsnc12,7,15,1.53,221.0986685,1,0,0,0,0,0
785,CCc1c2c(c(NC(C)C)c3nsnc13)OCCO2,4,19,1.55,279.1041478,1,0,0,1,0,0
786,CNc1c(OC)cc(C)c2nsnc12,6,14,1.48,209.062283,1,0,0,0,0,0
788,CCC(C)/[N+](=C(/C)[O-])c1cccc2nsnc12,3,17,1.83,249.0935831,1,0,0,0,0,0
789,CCC(C)Oc1ccc2nsnc2c1C,4,15,1.65,222.0826841,1,0,0,0,0,0
790,CCC1COc2c(c(OC)c3nsnc3c2OC)O1,6,19,1.61,282.0674279,1,0,0,1,0,0
791,CCc1ccc(C(C)CC)c2nsnc12,4,15,1.59,220.1034195,1,0,0,0,0,0
793,CCc1cc2nsnc2c2c1OCC(CC)O2,4,17,1.47,250.0775987,1,0,0,0,0,0
794,CCNc1cc2c(c3nsnc13)CCCC2,4,16,1.59,233.0986685,1,0,0,0,0,0
796,CC1Cc2c3c(c4nsnc4c2C1)OCCO3,3,17,1.45,248.0619486,1,0,0,0,0,0
797,CNc1c2c(cc3nsnc13)OCCO2,2,15,1.44,223.0415475,1,0,0,1,0,0
798,CC/C([O-])=[NH+]\c1c2c(cc3nsnc13)CCO2,4,17,1.6,249.0571976,1,0,0,0,0,0
799,Cc1c2c(cc3nsnc13)N(C)CN2CCN(C)C,8,19,1.21,277.1361166,1,1,0,0,0,0
800,COc1cc2nsnc2c2c1C(C)C(C)O2,4,16,1.49,236.0619486,1,0,0,0,0,0
801,CN(C)CCN1CCN(C)c2cc3nsnc3cc21,6,19,1.17,277.1361166,1,0,1,0,0,0
802,CCc1c2c(cc3nsnc13)CCCO2,4,15,1.5,220.067034,1,0,0,0,0,0
803,CN1CCc2c3c(c4nsnc4c21)CCC3,5,16,1.43,231.0830184,1,0,0,0,0,0
804,CCCc1c2c(cc3nsnc13)N(C)CCN2CC,6,19,1.28,276.1408676,1,0,1,0,0,0
805,Cc1c2c(cc3nsnc13)N(C)CN2C,6,15,1.15,220.0782674,1,1,0,0,0,0
806,CCCN1CCN(C)c2c1cc1nsnc1c2OC,6,19,1.21,278.1201322,1,0,1,0,0,0
807,CCCN(C)c1c2c(c(C)c3nsnc13)OCCO2,6,19,1.31,279.1041478,1,0,0,1,0,0
808,CCOc1c(CC)cc(OC)c2nsnc12,6,16,1.69,238.0775987,1,0,0,0,0,0
809,CCN1CN(C)c2c1cc1nsnc1c2OC(C)C,6,19,1.17,278.1201322,1,1,0,0,0,0
810,CCN1CCN(CCOC)c2c1cc1nsnc1c2OC,7,21,1.28,308.1306969,1,0,1,0,0,0
811,CCNc1c2c(c(OC)c3nsnc13)N(C)CN2C,8,19,1.17,279.1153812,1,1,0,0,0,0
812,CCc1cc(/[NH+]=C(\C)[O-])c2nsnc2c1,4,15,1.74,221.062283,1,0,0,0,0,0
813,CCC(C)N(C)CCc1c2c(cc3nsnc13)C1CCC2C1,4,22,1.2,315.1769188,1,0,0,0,1,0
814,CC/C([O-])=[NH+]\c1cc(C(C)C)cc2nsnc12,4,17,1.73,249.0935831,1,0,0,0,0,0
815,CC/C([O-])=[NH+]\c1c2c(cc3nsnc13)CCC2,4,17,1.68,247.077933,1,0,0,0,0,0
816,CCCc1ccc2nsnc2c1OCC,4,15,1.63,222.0826841,1,0,0,0,0,0
817,CCN(CC)c1cc(OC)c2nsnc2c1,5,16,1.29,237.0935831,1,0,0,0,0,0
818,CCCc1cc(C)c2nsnc2c1C,6,14,1.47,206.0877694,1,0,0,0,0,0
819,CCOc1ccc(CC(C)C)c2nsnc12,4,16,1.68,236.0983341,1,0,0,0,0,0
820,CCOc1cc2nsnc2c2c1OCC(C)O2,4,17,1.34,252.0568632,1,0,0,0,0,0
821,CCN(CCOC)c1c2c(cc3nsnc13)C1CCC2CC1,4,22,1.48,317.1561834,1,0,0,0,0,1
823,COc1c(C)cc2nsnc2c1C(C)C,6,15,1.46,222.0826841,1,0,0,0,0,0
824,C1CCc2c(c3c(c4nsnc24)CCC3)OC1,4,17,1.54,246.0826841,1,0,0,0,0,0
825,CC(C)CN(C)CCc1c2c(cc3nsnc13)C1CCC2C1,4,22,1.46,315.1769188,1,0,0,0,1,0
826,CCc1cc2nsnc2c(OC)c1OC,6,15,1.63,224.0619486,1,0,0,0,0,0
827,COc1cc(C)c2nsnc2c1OC(C)C,6,16,1.6,238.0775987,1,0,0,0,0,0
828,CCN1CCCc2cc3nsnc3cc21,3,15,1.35,219.0830184,1,0,0,0,0,0
